Topic,negative,neutral,positive
0,3090,1295,309
1,2922,15,13
10,398,0,0
11,321,41,1
12,2,346,1
13,127,210,0
14,335,0,0
15,325,0,0
16,0,288,0
17,270,0,0
18,0,264,0
19,231,0,0
2,751,1544,34
20,0,230,0
21,29,190,1
22,1,202,0
23,1,188,0
24,160,0,21
25,0,28,152
26,0,174,0
27,70,76,15
28,0,153,0
29,0,150,0
3,891,369,367
30,0,145,0
31,141,3,1
32,2,0,134
33,67,39,1
34,2,86,0
35,0,0,88
36,87,0,0
37,87,0,0
38,83,0,0
39,0,0,82
4,262,973,0
40,80,2,0
41,0,74,0
42,1,66,0
43,65,0,0
44,0,59,0
45,0,0,58
46,55,0,0
47,54,0,0
48,0,53,0
49,48,0,0
5,978,41,1
50,0,48,0
51,0,44,2
52,3,38,0
53,0,39,0
54,0,38,0
55,0,36,1
56,12,22,1
57,0,34,0
58,33,0,0
6,976,0,0
7,123,796,32
8,839,1,0
9,0,492,0
