Topic,Count,Name,Representation,Representative_Docs,tweets_count
-1,7563,-1_Political attacks on journalists,['Political attacks on journalists'],"['solidariedade jornalista vera magalhaes ofendida covardemente troglodita douglas garcia mais cria d', 'cultura jornalista vera magalhaes entrar noticia crime contra deputado bolsonarista douglas garcia apresent', 'opiniao bolsonaro bolsonaristas estao atacando jornalistas mulheres anteontem deputado bolsonarista douglas garcia atacar jornalista vera magalhaes debate candidatos governador sp bolsonaro perder']",
0,10813,0_Brazilian political discourse on social media,['Brazilian political discourse on social media'],"['bolsonaro atacava vera magalhaes ciro gargalhava nao ha sintonia carater dupla', 'vera magalhaes apertou ferida vitimista bolsonaro pq nao comprou vacina periodo certo', 'ataque jair bolsonaro jornalista vera magalhaes seguida estendendo criticas senadora simone tebet mdb']",10813.0
1,3131,1_Social media discussion on Brazilian politics,['Social media discussion on Brazilian politics'],"['vera magalhaes carinho chega manipular fatos t ki gdnb', 'vera magalhaes carinho chega manipular fatos t ki gdnb', 'ciro gomes solidariza vera magalhaes t gmdmdmrzpn']",3131.0
2,971,2_Political criticism of Bolsonaro,['Political criticism of Bolsonaro'],"['invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t', 'invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t', 'invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t']",971.0
3,479,3_Brazilian journalism and political discourse,['Brazilian journalism and political discourse'],"['vera magalhaes x douglas garcia questionamento deputado jornalista legitimo fato u', 'vera magalhaes x douglas garcia questionamento deputado jornalista legitimo fato u', 'vera magalhaes x douglas garcia questionamento deputado jornalista legitimo fato u']",479.0
4,414,4_Texto confuso em português,['Texto confuso em português'],"['cantanhede tentando chorar mais alto vera magalhaes t uzjwywfqbk', 'cantanhede tentando chorar mais alto vera magalhaes t uzjwywfqbk', 'cantanhede tentando chorar mais alto vera magalhaes t uzjwywfqbk']",414.0
5,402,5_Media coverage of political events in Brazil,['Media coverage of political events in Brazil'],"['globo apos debate bolsonaro cancela sabatina jovem pan reavalia entrevista compartilhado vera magalh', 'globo apos debate bolsonaro cancela sabatina jovem pan reavalia entrevista compartilhado vera magalh', 'globo apos debate bolsonaro cancela sabatina jovem pan reavalia entrevista compartilhado vera magalh']",402.0
6,378,6_Controversial incident at a TV event,['Controversial incident at a TV event'],"['questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t', 'questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t', 'questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t']",378.0
7,363,7_Rejection of Bolsonaro by Brazilian women,['Rejection of Bolsonaro by Brazilian women'],"['menos mulheres brasileiras rejeitam bolsonaro miliciano tratou jornalista vera magal', 'menos mulheres brasileiras rejeitam bolsonaro miliciano tratou jornalista vera magal', 'menos mulheres brasileiras rejeitam bolsonaro miliciano tratou jornalista vera magal']",363.0
8,323,8_Unintelligible or nonsensical text,['Unintelligible or nonsensical text'],"['solidarizando vera magalhaes realmente acha atacada ha interesse ocul', 'solidarizando vera magalhaes realmente acha atacada ha interesse ocul', 'solidarizando vera magalhaes realmente acha atacada ha interesse ocul']",323.0
