Topic,negative,neutral,positive
0,7848,2522,443
1,1855,1099,177
10,270,0,2
11,266,0,0
12,13,0,221
13,209,1,0
14,0,0,195
15,192,0,0
16,24,153,12
17,180,0,5
18,182,0,0
19,1,179,0
2,850,121,0
20,160,13,0
21,151,0,0
22,0,131,0
23,123,0,0
24,117,0,0
25,104,0,0
26,102,0,0
27,38,63,0
28,101,0,0
29,95,0,0
3,155,165,159
30,90,0,0
31,0,89,0
32,86,0,0
33,0,0,80
34,0,0,76
35,74,0,0
36,0,0,72
37,65,0,0
38,0,65,0
39,64,0,0
4,321,89,4
40,0,0,62
41,58,0,0
42,54,0,0
43,0,21,28
44,0,47,0
45,44,0,0
46,44,0,0
47,42,0,0
48,42,0,0
49,41,0,0
5,398,4,0
50,40,0,0
51,40,0,0
52,39,0,0
53,38,0,0
54,0,0,38
55,0,36,0
56,34,0,0
57,0,34,0
58,1,31,0
6,344,34,0
7,363,0,0
8,320,3,0
9,239,45,1
