Document,Topic
sr deveria minimo decencia coragem bois trocadilho citando covarde deput,0
vera magalhaes pau mandada doria,0
sentiu vera magalhaes assustada quantidade gente bolsonaro elegeu congresso nao consegue entende,0
ataque dep douglas garcia jornalista vera magalhaes mulheres sao sempre atacadas misoginia tatica,0
felipe neto vera magalhaes pacheco simone tebet tantos iluminados estao calados fala lula,0
guedes bolsonaro prezada vera magalhaes prazer reve alo agencias checagem coes,0
simone tebet enfrentou bolsonaro solidarizou vera magalhaes excelente desempenho,0
ganhamos liminar h retirar fake news contra mim pena multa diaria acao segue ped,41
bolsonaro ja passado trator vera magalhaes amanda atropelou transatlantico,0
serum vera magalhaes perguntar pro bolsonaro r,0
cinismo bolso prezada vera magalhaes prazer reve homem absolutamente grotesco nojento,0
thai oyama vera magalhaes monica bergamo patricia campos mello ta feia,0
ciro metendo meio ataque bolsonaro vera magalhaes tebet kkkkkkkk grande otario suma politica,1
alexandre segue pessoas twitter nao segue bolsonaro ma daniela lima cnn vera magalhaes patricia ca,0
bolsonaro entrou presidencia passar enem igual ganhar mega virada kkkk sigam forum bolson,20
globo apos debate bolsonaro cancela sabatina jovem pan reavalia entrevista compartilhado vera magalh,5
ultimo video lula bebendo agua viralizou vera magalhaes felipe neto ja explicaram motivo agua lu,0
ana paula henkel colocou vera magalhaes devido t mztbmdz,1
analise chave roteiro produzir capitolio brasileiro blog t,16
bolsonaro ataca jornalista vera magalhaes acho voce dorme pensando mim voce nao pode tomar partido debate es,0
vish mais apoio campo democratico poi celso mello declara apoio lula t fjacbggbba,0
vera magalhaes perguntar perguntado fazia dinheiro auxilio moradia sr,57
continuem vao ganhar votos eleitorado feminino post enganoso usa video fabiola cidral,0
vera magalhaes carinho chega manipular fatos t ki gdnb,1
ciro gomes ri durante ataque misogino bozo jornalista vera magalhaes fica pergunta duas caras,0
espero vera magalhaes entenda vitima proprio ovo serpente chocou redima trabalhando fim d,0
vera magalhaes transformada vitima mentido provocado reacao presidente ma nunca esqueceremos q,0
agosto gente empatia vera magalhaes,0
ciro acusa bolsonaro machismo ma riu demais resposta vera magalhaes t ccz pcvbh,1
bancada perguntadores debate monica bergamo thays oyama vera magalhaes patricia campos melo blogu,0
bolsonaro ja passado trator vera magalhaes amanda atropelou transatlantico,0
rodrigo garcia psdb declarar apoio tarcisio freitas rep sao paulo neutralidade disputa presidenci,0
questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t,6
vera magalhaes roubou voz lula peruca zacarias,0
giant apos multada fake news contra lula damares insiste espalhar mentiras contra vera magalhaes,0
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
redacao jornais folha uol globo jornal nacional vera magalhaes choro livre chorou,27
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
cade feminazes vera magalhaes monica bergamo anitta atrizes globais parabenizar guerreira,14
ciro acusa bolsonaro machismo ma riu demais resposta vera magalhaes t ccz pcvbh,1
vera magalhaes transformada vitima mentido provocado reacao presidente ma nunca esqueceremos q,0
bolsonaro nao criticou vera magalhaes mulher nem sabia vera mulher fala jorna,0
publicamos video bolsonaro ofendendo jornalista vera magalhaes tambem facebook link t koue oyuyy c,1
voce acha vera magalhaes vergonha jornalismo nacional,10
boa cara presidente brasil ovacionado onda anda cara fala verdade esfregou cara,34
deputado douglas garcia ofende jornalista vera magalhaes debate candidatos governo sp eleicoes g,0
ca senador t parre,4
deputado bolsonarista douglas garcia ofende jornalista vera magalhaes durante debate candidatos governo sp tv cultura eleicoes sao paulo g t qxixb ro u,1
vera magalhaes serum lembra t tzglmikewe,8
malafaia condenado excluir post contra vera magalhaes monica bergamo folha t gxybdp y,1
perceberam propria vera magalhaes nao nenhum tuite suposto ataque sofreu critica,39
presidente bolsonaro defende ataques vera magalhaes t frqepkai via,1
ta querendo roubar titulo vera magalhaes tadinha t chhjnkkqt,1
imprensa inteira solidarizou vera magalhaes episodio douglas garcia calar ataques s,0
bolsonaro tratou vera magalhaes deprimente chocante presidente capaz tao,10
comecar fome maior lares criancas marca pop campanha lula janja devota iansa amiga,0
menos mulheres brasileiras rejeitam bolsonaro miliciano tratou jornalista vera magal,7
rovai lula lembra vera magalhaes agredida canela bolsonaro,0
vera magalhaes mentiu bolsonaro tomou invertida tao feminista resolveu prestar solid,0
globo cbn divulgam nota repudio ataque contra jornalista vera magalhaes eleicoes globo t,5
globo apos debate bolsonaro cancela sabatina jovem pan reavalia entrevista compartilhado vera magalh,5
solidariedade excelentissimo presidente republica caiu armadilha pseudojornalista vera magalhaes nao preocupe viram sacanagem nao colar,0
bolsonaro ja passado trator vera magalhaes amanda atropelou transatlantico,0
rasgou vera magalhaes t gyognre go,8
malafaia condenado excluir post contra vera magalhaes monica bergamo folha t gxybdp y,1
vera magalhaes tweet elogiando lula bloqueou comentarios,0
vera magalhaes confrontada amante tolerancia tenta destruir violencia celular deputado garcia imagin,0
guedes bolsonaro prezada vera magalhaes prazer reve alo agencias checagem coes,0
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
cade feminazes vera magalhaes monica bergamo anitta atrizes globais parabenizar guerreira,14
morro nao vejo tudo bolsonaro vera magalhaes voce deve dormir pensando mim voce vergonha,0
continuem vao ganhar votos eleitorado feminino post enganoso usa video fabiola cidral,0
morro nao vejo tudo bolsonaro vera magalhaes voce deve dormir pensando mim voce vergonha,0
voce acha vera magalhaes vergonha jornalismo nacional,10
fim debate tebet ciro melhores demais lula jogou empate sinalizou tebet ciro,0
cantanhede tentando chorar mais alto vera magalhaes t uzjwywfqbk,4
vera magalhaes nao pergunta critica governo pediu ajuda ciro sequencia tarefa es,0
achei verdadeiro absurdo ataque bolsonaro vera magalhaes nao suporto ingratidao,0
lapada vera magalhaes merecida nao,42
amado bolsonaro ataca jornalista vera magalhaes chama senadora simone tebet vergonha nao entende,0
vera magalhaes passou vergonha t mwlbimplze,1
samia bonfim solidariza vera magalhaes momentos reuniao pauta t omgmncsava via,0
tarcisio freitas candidato bolsonaro governo sao paulo douglas garcia deputado mal con,0
simone soraya comeca ir bolsonaro crescia lula atacou jornalista vera magalhaes,0
rasgou vera magalhaes t gyognre go,8
vera magalhaes carinho chega manipular fatos t ki gdnb,1
vera magalhaes nao pergunta critica governo pediu ajuda ciro sequencia tarefa es,0
vera magalhaes fumou maco derby poder encarar debate,0
cultura tv cultura solidariza lamenta agressao jair bolsonaro contra vera magalhaes t hrq,0
jogo culpa formato debate espero proximos abram espaco propostas embates mais espaco nao presenciando eleicao normal veiculos imprensa precisam entender ataque vera magalhaes absurdo ficou sem resposta,0
vera magalhaes atacada direito possui subtrair telefone douglas garcia especialista ataques pessoais sem qualquer preocupacao antagonistas,0
felipe neto vera magalhaes pacheco simone tebet tantos iluminados estao calados fala lula,0
achei verdadeiro absurdo ataque bolsonaro vera magalhaes nao suporto ingratidao,0
bolsonarista douglas garcia maiores escroques alesp achou covardia bolsonaro debate presiden,0
real verdade ataque bolsonaro vera magalhaes durante debate band mais verdadeiro,0
alvo piores baixarias seguidores ciro gomes nao vejo diferenca bolsonarismo,0
vera magalhaes atacada,0
mito zoe maravilhosa jornaliste vera magalhaes t jdghvsvq w,1
facil defender vera magalhaes dificil arrumar emprego proximo governador sp trocar apres,18
ana paula henkel colocou vera magalhaes devido t mztbmdz,1
lula fecha debate solidarizando tebet vera magalhaes cita alckmin lista governo dilma n,22
vera magalhaes tweet elogiando lula bloqueou comentarios,0
morro nao vejo tudo bolsonaro vera magalhaes voce deve dormir pensando mim voce vergonha,0
bolsonaro ataca vera magalhaes apos jornalista criticar desinformacao vacinas t fwyaqkisr,1
direita discute inutilmente vera magalhaes pdt estao mandando enxurrada acoes tse,11
bozo chama pobreza demagogia agride jornalista vera magalhaes baba nervoso t hxva d,1
bolsonaro piada vera magalhaes agressao criminosos tentam matar tarcisio so barulho,0
espero policia civil sao paulo tomem providencias punir mais vio,46
direita nao gosta vera magalhaes verdade ma precisamos ganhar estado sao paulo apos poderemo,0
tanto escolha alvo vera magalhaes acusacao obter reacao repudio voce vergonha pro jornalismo sao remanescentes debate bolsonaro band engracado conservotario sonha bolsonaro,0
bom professor etica fecha chave ouro explica didaticamente problemas mentiras douglas assedi,36
facil defender vera magalhaes dificil arrumar emprego proximo governador sp trocar apres,18
cortada vera magalhaes,0
simone tebet enfrentou bolsonaro solidarizou vera magalhaes excelente desempenho,0
agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo,27
eleitor lula jogou objeto bolsonaro presidente pilotando durante motociata voce nao v,13
gado levantar tag madrugada salvar bolsonaro acham so po,0
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
escroto bolsonaro ciro mostram verdadeira face atacava vera magalhaes argumento machista dorme,0
vera magalhaes atacada,0
tarcisio alega ofensas bolsonaro douglas garcia vera magalhaes contextos diferentes t v dxajwqfp,1
imprensa inteira solidarizou vera magalhaes episodio douglas garcia calar ataques s,0
